,NAME,RATINGS,LINK
46,['Indian BBQ Co.'],['4.5\nDINING'],['https://www.zomato.com/mumbai/indian-bbq-co-veera-desai-area?zrp_bid=1104134&zrp_pid=14&zrp_cid=1076475']
47,['London Taxi'],['4.5\nDINING'],['https://www.zomato.com/mumbai/london-taxi-lower-parel?zrp_bid=1137127&zrp_pid=14&zrp_cid=10027894']
48,['Indian BBQ Co.'],['4.5\nDINING'],['https://www.zomato.com/mumbai/indian-bbq-co-veera-desai-area?zrp_bid=1104134&zrp_pid=14&zrp_cid=1076475']
49,['London Taxi'],['4.5\nDINING'],['https://www.zomato.com/mumbai/london-taxi-lower-parel?zrp_bid=1137127&zrp_pid=14&zrp_cid=10027894']
50,['Ishaara'],['4.7\nDINING'],['https://www.zomato.com/mumbai/ishaara-lower-parel?zrp_bid=1137115&zrp_pid=14&zrp_cid=10027882']
51,['Veranda'],['4.5\nDINING'],['https://www.zomato.com/mumbai/veranda-pali-hill-bandra-west?zrp_bid=1114493&zrp_pid=14&zrp_cid=10005264']
52,['The Terrace - A Maiden Affair'],['4.5\nDINING'],['https://www.zomato.com/mumbai/the-terrace-a-maiden-affair-andheri-lokhandwala?zrp_bid=1136701&zrp_pid=14&zrp_cid=10027468']
53,['Ishaara'],['4.7\nDINING'],['https://www.zomato.com/mumbai/ishaara-lower-parel?zrp_bid=1137115&zrp_pid=14&zrp_cid=10027882']
54,"[""Something's Fishy - The International By Tunga""]",['4.5\nDINING'],['https://www.zomato.com/mumbai/somethings-fishy-the-international-by-tunga-mahakali?zrp_bid=1136824&zrp_pid=14&zrp_cid=10027591']
55,['Indian BBQ Co.'],['4.5\nDINING'],['https://www.zomato.com/mumbai/indian-bbq-co-veera-desai-area?zrp_bid=1104134&zrp_pid=14&zrp_cid=1076475']
56,['Glocal Junction'],['4.5\nDINING'],['https://www.zomato.com/mumbai/glocal-junction-worli?zrp_bid=1137085&zrp_pid=14&zrp_cid=10027852']
57,['Glocal Junction'],['4.5\nDINING'],['https://www.zomato.com/mumbai/glocal-junction-worli?zrp_bid=1137085&zrp_pid=14&zrp_cid=10027852']
58,['The Terrace - A Maiden Affair'],['4.5\nDINING'],['https://www.zomato.com/mumbai/the-terrace-a-maiden-affair-andheri-lokhandwala?zrp_bid=1136701&zrp_pid=14&zrp_cid=10027468']
59,['Yazu - Pan Asian Supper Club'],['4.8\nDINING'],['https://www.zomato.com/mumbai/yazu-pan-asian-supper-club-oshiwara?zrp_bid=1136887&zrp_pid=14&zrp_cid=10027654']
